sample_id,biosample,other_sample_id,collaborator_sample_id,dataset,env_broad_scale,env_medium,storage_medium,host_pooped,host_taxon,host_genus,host_species,animal_type,animal_ecomode,Clade_Order,Family,Diet,Diet_Detailed,Habitat,Metamorphosis,Reproduction,sex,svl,weight,collection_date,state,county,ecoregion_III,ecoregion_IV,site,gps_n,gps_w,walker_wash_swab_protocol,data_type,collector,notes_host,notes_lab,temp_code,,,,,,,,,,,,,,,,,,,,,,,,,
STP51B,STP51,NA,NA,cryo,wild,fecal,water,Y,Plethodon chlorobryonis,Plethodon,chlorobryonis,Salamander,Terrestrial,Caudate,Plethodontidae,Insectivore,"Insects, arthropods",Forest,Non-Meta,Oviparous,,52,,5/5/2014,GA,white,Piedmont,Southern Inner Piedmont,Mount Yonah Trailhead,34.637169,-83.731703,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP52,STP52,NA,NA,cryo,wild,fecal,water,Y,Plethodon chlorobryonis,Plethodon,chlorobryonis,Salamander,Terrestrial,Caudate,Plethodontidae,Insectivore,"Insects, arthropods",Forest,Non-Meta,Oviparous,,70,,5/5/2014,GA,white,Piedmont,Southern Inner Piedmont,Mount Yonah Trailhead,34.637169,-83.731703,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP54,STP54,NA,NA,cryo,wild,fecal,water,Y,,,,0,0,0,0,0,0,0,0,0,,82,,5/5/2014,GA,white,Piedmont,Southern Inner Piedmont,Mount Yonah Trailhead,34.637169,-83.731703,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP55,STP55,NA,NA,cryo,wild,fecal,water,Y,Plethodon chlorobryonis,Plethodon,chlorobryonis,Salamander,Terrestrial,Caudate,Plethodontidae,Insectivore,"Insects, arthropods",Forest,Non-Meta,Oviparous,,68,,5/5/2014,GA,white,Piedmont,Southern Inner Piedmont,Mount Yonah Trailhead,34.637169,-83.731703,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP58,STP58,NA,NA,cryo,wild,fecal,water,Y,Plethodon chlorobryonis,Plethodon,chlorobryonis,Salamander,Terrestrial,Caudate,Plethodontidae,Insectivore,"Insects, arthropods",Forest,Non-Meta,Oviparous,,48,,5/5/2014,GA,white,Piedmont,Southern Inner Piedmont,Mount Yonah Trailhead,34.637169,-83.731703,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP59,STP59,NA,NA,cryo,wild,fecal,water,Y,Plethodon chlorobryonis,Plethodon,chlorobryonis,Salamander,Terrestrial,Caudate,Plethodontidae,Insectivore,"Insects, arthropods",Forest,Non-Meta,Oviparous,,28,,5/5/2014,GA,white,Piedmont,Southern Inner Piedmont,Mount Yonah Trailhead,34.637169,-83.731703,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP60,STP60,NA,NA,cryo,wild,fecal,water,Y,Plethodon chlorobryonis,Plethodon,chlorobryonis,Salamander,Terrestrial,Caudate,Plethodontidae,Insectivore,"Insects, arthropods",Forest,Non-Meta,Oviparous,,83,,5/5/2014,GA,white,Piedmont,Southern Inner Piedmont,Mount Yonah Trailhead,34.637169,-83.731703,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP61,STP61,NA,NA,cryo,wild,fecal,water,Y,Plethodon chlorobryonis,Plethodon,chlorobryonis,Salamander,Terrestrial,Caudate,Plethodontidae,Insectivore,"Insects, arthropods",Forest,Non-Meta,Oviparous,,30,,5/5/2014,GA,white,Piedmont,Southern Inner Piedmont,Mount Yonah Trailhead,34.637169,-83.731703,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP62,STP62,NA,NA,cryo,wild,fecal,water,Y,Plethodon chlorobryonis,Plethodon,chlorobryonis,Salamander,Terrestrial,Caudate,Plethodontidae,Insectivore,"Insects, arthropods",Forest,Non-Meta,Oviparous,,32,,5/5/2014,GA,white,Piedmont,Southern Inner Piedmont,Mount Yonah Trailhead,34.637169,-83.731703,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP63,STP63,NA,NA,cryo,wild,fecal,water,Y,Plethodon chlorobryonis,Plethodon,chlorobryonis,Salamander,Terrestrial,Caudate,Plethodontidae,Insectivore,"Insects, arthropods",Forest,Non-Meta,Oviparous,,24,,5/5/2014,GA,white,Piedmont,Southern Inner Piedmont,Mount Yonah Trailhead,34.637169,-83.731703,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
